CODCLI,CODPROD,EAN,PRODUTO,ESPECIE,PORTE,IDADE,DEPARTAMENTO,DT_VENDA,QT_VENDA
302701,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
3001,17683,4017683001022,RAÇÃO SECA CAT EXCELLENCE SALMÃO CASTRADO AD 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,5
3933,17682,4017682001023,RAÇÃO SECA CAT EXCELLENCE SALMÃO GATO ADULTO 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,1
33766,17682,4017682001023,RAÇÃO SECA CAT EXCELLENCE SALMÃO GATO ADULTO 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,1
20474,17682,4017682001023,RAÇÃO SECA CAT EXCELLENCE SALMÃO GATO ADULTO 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,2
59611,17682,4017682001023,RAÇÃO SECA CAT EXCELLENCE SALMÃO GATO ADULTO 1KG GRANEL,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,ALIMENTOS,00:00.0,2
32849,7005,7898923563770,RAÇÃO SECA DOG EXCELLENCE  PARA CÃES ADULTOS RAÇAS MÉDIAS CORDEIRO 3 KG,CÃES,MÉDIO,ADULTO,ALIMENTOS,00:00.0,1
55967,2470,7898923563077,RAÇÃO SECA DOG EXCELLENCE  PARA CÃES ADULTOS RAÇAS MÉDIAS FRANGO 15 KG,CÃES,MÉDIO,ADULTO,ALIMENTOS,00:00.0,1
19911,258409,7898510457581,RAÇÃO SECA HERCOSUL THREE DOGS PREMIUM ESPECIAL ORIGINAL PARA CÃES ADULTOS RAÇAS MÉDIAS E GRANDES 20 KG,CÃES,MÉDIO|GRANDE,ADULTO,ALIMENTOS,00:00.0,1
1,2470,7898923563077,RAÇÃO SECA DOG EXCELLENCE  PARA CÃES ADULTOS RAÇAS MÉDIAS FRANGO 15 KG,CÃES,MÉDIO,ADULTO,ALIMENTOS,00:00.0,1
59611,2470,7898923563077,RAÇÃO SECA DOG EXCELLENCE  PARA CÃES ADULTOS RAÇAS MÉDIAS FRANGO 15 KG,CÃES,MÉDIO,ADULTO,ALIMENTOS,00:00.0,1
1,2287,4002287001028,RAÇÃO SECA DOG EXCELLENCE CÃES RG AD FRANGO 1KG GRANEL,CÃES,GRANDE,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
1,2636,4002636001037,RAÇÃO SECA DOG EXCELLENCE CÃES RG FILHOTE 1K GRANEL,CÃES,GRANDE,FILHOTE,ALIMENTOS,00:00.0,1
1,2636,4002636001037,RAÇÃO SECA DOG EXCELLENCE CÃES RG FILHOTE 1K GRANEL,CÃES,GRANDE,FILHOTE,ALIMENTOS,00:00.0,1
313380,10189,4010189001022,RAÇÃO SECA DOG EXCELLENCE CÃES RM AD CARNE 1KG GRANEL,CÃES,MÉDIO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
18961,10184,4010184001027,RAÇÃO SECA DOG EXCELLENCE CÃES RM AD CORDEIRO 1KG GRANEL,CÃES,MÉDIO,FILHOTE|ADULTO|SÊNIOR,ALIMENTOS,00:00.0,1
